<<<<<<< Updated upstream
title,organization,category,location,subject_area,deadline,grade_level,description,link,source,source_url,scraped_at
Los Alamos National Laboratory High School Internship Program,Los Alamos National Laboratory High School Internship Program,Research,United States,STEM,,High School,"All-year Summer Free Local Location: Los Alamos, NM Format: Academic year and summer internships available Length: 10+ weeks Cost: Free Eligibility: New Mexico high school juniors and seniors aged 16+ Best for: Local students who want to explore STEM or business careers at a national lab. What you do: Students can apply to dozens of placements, which range from technical operations, like detonator production, to community partnerships. Interns are part-time during the school year (10–20...",https://www.lanl.gov/engage/collaboration/student-programs/high-school,College Transitions,https://www.collegetransitions.com/blog/research-opportunities-for-high-school-students/,2026-06-02T13:12:46+00:00
University of Kansas Biotech Research Apprentice Program,University of Kansas Biotech Research Apprentice Program,Research,United States,Computer Science,,High School,"All-year Free Lab Local Location: Overland Park, KS Format: Academic year Length: Semester Cost: Free Eligibility: High school students age 16+ Best for: Local students exploring biology or biotech who are interested in gaining lab experience during the academic year. What you do: Assist KU undergraduates with their senior capstone projects, which involves generating data, interpreting results, and presenting findings. Reality check: This is a research support role rather than an independent...",https://edwardscampus.ku.edu/biotech-research-apprentice-program,College Transitions,https://www.collegetransitions.com/blog/research-opportunities-for-high-school-students/,2026-06-02T13:12:46+00:00
Summer Science Program,Summer Science Program,Research,United States,STEM,,High School,"Residential Summer Location: Multiple host campuses (program/location depends on track) Format: Summer Length: 5 weeks Cost: $11,800 max; all program fees are scaled according to what each family can afford Eligibility: Current high school juniors Best for: Juniors seeking a well-known residential research program (it’s one of the oldest in the country!) that requires a very high level of involvement. What you do: Participate in an intensive research experience in one of four tracks:...",https://summerscience.org/the-ssp-experience/what-is-ssp/,College Transitions,https://www.collegetransitions.com/blog/research-opportunities-for-high-school-students/,2026-06-02T13:12:46+00:00
George Mason University Aspiring Scientists Internship Program (ASSIP),George Mason University Aspiring Scientists Internship Program (ASSIP),Research,United States,Engineering,,High School,"Summer Lab Commuter Competitive Location: Fairfax, VA Format: Summer Length: 8 weeks Cost: $1,299 (to cover the cost of college credits earned) Eligibility: High school students aged 15+ or 16+, depending on program Best for: Students who want to choose from a wide variety of research disciplines and value earning college credit. What you do: Work one-on-one with faculty researchers on a real project in one of 50+ fields, including everything from astronomy and chemistry to bioengineering,...",https://science.gmu.edu/assip,College Transitions,https://www.collegetransitions.com/blog/research-opportunities-for-high-school-students/,2026-06-02T13:12:46+00:00
University of California Davis Young Scholars Program,University of California Davis Young Scholars Program,Research,United States,STEM,,High School,"Summer Competitive Lab Residential Location: Davis, CA Format: Summer Length: 6 weeks Cost: $7,750 Eligibility: Rising juniors and seniors who will be 16+ by the start of the program Best for: Students interested in biological, agricultural, environmental, or natural sciences who want one-on-one mentorship and a tangible outcome (journal-quality paper + symposium presentation). What you do: Pursue an independent original research project with faculty mentorship, producing the aforementioned...",https://education.ucdavis.edu/ysp-about,College Transitions,https://www.collegetransitions.com/blog/research-opportunities-for-high-school-students/,2026-06-02T13:12:46+00:00
"Michigan State High School Honors Science, Math and Engineering Program","Michigan State High School Honors Science, Math and Engineering Program",Research,United States,Engineering,,High School,"Summer Residential Competitive Location: East Lansing, MI Format: Summer Length: 7 weeks Cost: $4,000 Eligibility: Current high school juniors Best for: Juniors who want a longer residential experience and are ready for an “authentic” research process (including uncertainty and iteration). What you do: Learn research fundamentals and then deeply investigate a problem of interest in science, engineering, or math while working with professionals and peers. Many students have gone on to publish...",https://education.msu.edu/hshsp/,College Transitions,https://www.collegetransitions.com/blog/research-opportunities-for-high-school-students/,2026-06-02T13:12:46+00:00
Boston University RISE,Boston University RISE,Research,United States,STEM,,High School,"Summer Residential Competitive Lab Location: Boston, MA Format: Summer Length: 6 weeks Cost: $5,930 plus room & board Eligibility: Current high school juniors Best for: Juniors who want either full-time lab immersion or a more structured research experience. What you do: Conduct lab research in one of two tracks: Internship or Practicum. Internship students work full-time on an interest-aligned project in one of 15 subject areas with faculty/postdoc/grad mentorship; Practicum students work in...",https://www.bu.edu/summer/high-school-programs/rise-internship-practicum/,College Transitions,https://www.collegetransitions.com/blog/research-opportunities-for-high-school-students/,2026-06-02T13:12:46+00:00
Stony Brook University Garcia Center Research Experience for High School Students,Stony Brook University Garcia Center Research Experience for High School Students,Research,United States,Engineering,,High School,"Residential Commuter All-year Summer Lab Location: Stony Brook, NY Format: Summer (with possible academic year continuation) Length: 7 weeks Cost: $4,000 plus room & board Eligibility: High school students aged 16+ Best for: Highly motivated, high-achieving students interested in materials/polymer science who want a intensive research experience. Local students also have the option to continue research during the school year. What you do: At the Garcia Center for Polymers at Engineered...",https://www.stonybrook.edu/commcms/garcia/summer_program/program_description,College Transitions,https://www.collegetransitions.com/blog/research-opportunities-for-high-school-students/,2026-06-02T13:12:46+00:00
University of Florida Student Science Training Program,University of Florida Student Science Training Program,Research,United States,Medicine,,High School,"Summer Lab Residential Competitive Location: Gainesville, FL Format: Summer Length: 7 weeks Cost: $5,500 Eligibility: Rising seniors aged 16+ Best for: Older students considering STEM/medicine who want a mentored university research experience plus writing & presentation skills. What you do: Work with a faculty mentor and lab team on university-level, ongoing research for 30+ hours per week, participate in a science lecture series as well as a UF Honors Program seminar class, write a research...",https://www.cpet.ufl.edu/students/uf-cpet-summer-programs/student-science-training-program/,College Transitions,https://www.collegetransitions.com/blog/research-opportunities-for-high-school-students/,2026-06-02T13:12:46+00:00
University of California Santa Barbara Research Mentorship Program,University of California Santa Barbara Research Mentorship Program,Research,United States,STEM,,High School,"Summer Lab Competitive Location: Santa Barbara, CA Format: Summer Length: 7 weeks Cost: $13,274 (residential); $5,675 (commuter) Eligibility: High school sophomores and juniors Best for: Students who want a mentor-guided research experience across STEM or humanities and are comfortable with a heavy weekly time commitment. What you do: Spend 35–50 hours/week on an interdisciplinary research project in one of 30 areas that include biochemistry, CS, history, music, anthropology, etc. Students also...",https://www.summer.ucsb.edu/programs/research-mentorship-program/overview,College Transitions,https://www.collegetransitions.com/blog/research-opportunities-for-high-school-students/,2026-06-02T13:12:46+00:00
University of Iowa Secondary Student Training Program,University of Iowa Secondary Student Training Program,Research,United States,Environment,,High School,"Residential Summer Competitive Location: Iowa City, IA Format: Summer Length: 6 weeks Cost: $7,500 Eligibility: High school sophomores and juniors Best for: Students looking for a structured environment and small-group research experience. What you do: Conduct research in a small group supported by a University of Iowa faculty member. Students choose from nearly twenty active research areas and work on their project approximately seven hours per day. All groups create and present a poster at...",https://belinblank.education.uiowa.edu/students/sstp/,College Transitions,https://www.collegetransitions.com/blog/research-opportunities-for-high-school-students/,2026-06-02T13:12:46+00:00
University of California Santa Cruz Science Internship Program (SIP),University of California Santa Cruz Science Internship Program (SIP),Research,United States,STEM,,High School,"Residential Summer Lab Competitive Location: Santa Cruz, CA Format: Summer Length: 8 weeks (one week virtual, seven weeks in-person) Cost: $4,250 plus room & board Eligibility: High school students aged 14+, although some research groups require students to be 16+ Best for: Students who want authentic, open-ended mentored research with lots of project variety (including beyond traditional STEM). What you do: Join a research group for an active project (100+ options yearly) across...",https://sip.ucsc.edu/,College Transitions,https://www.collegetransitions.com/blog/research-opportunities-for-high-school-students/,2026-06-02T13:12:46+00:00
University of California Santa Barbara Summer Research Academies,University of California Santa Barbara Summer Research Academies,Research,United States,STEM,,High School,"Summer Lab Location: Santa Barbara, CA Format: Summer Length: 4 weeks Cost: $9,874 (residential); $3,475 (commuter) Eligibility: High school sophomores, juniors, and seniors Best for: Students who want a structured, interdisciplinary research experience that includes college credit (up to four). What you do: Learn core research concepts in a university-level course while developing a research question, running hands-on labs, analyzing results, and presenting findings. Twelve research tracks are...",https://www.summer.ucsb.edu/programs/summer-research-academies/research-tracks,College Transitions,https://www.collegetransitions.com/blog/research-opportunities-for-high-school-students/,2026-06-02T13:12:46+00:00
University of Massachusetts Amherst Summer Research Intensives,University of Massachusetts Amherst Summer Research Intensives,Research,United States,STEM,,High School,"Summer Competitive Lab Residential Commuter Location: Amherst, MA Format: Summer Length: 6 weeks Cost: $12,813 (residential); $7,133 (commuter) Eligibility: Rising juniors and seniors Best for: Students who want full-time lab immersion in biology, microbiology, chemistry, biochemistry, psychology, or food science. What you do: Work in one of 10 professional labs alongside faculty, grad students, and undergrads while learning research methods and producing a poster presentation. Reality check:...",https://www.umass.edu/uww/pre-college/research-intensives,College Transitions,https://www.collegetransitions.com/blog/research-opportunities-for-high-school-students/,2026-06-02T13:12:46+00:00
University of Chicago Research in the Biological Sciences (RIBS),University of Chicago Research in the Biological Sciences (RIBS),Research,United States,STEM,,High School,"Summer Residential Competitive Structured Location: Chicago, IL Format: Summer Length: 4 weeks Cost: $15,200 Eligibility: Current sophomores and juniors Best for: Sophomores and juniors with strong science grades who want a structured pathway to lab research. What you do: Learn and practice molecular, microbiological, and cell biology research techniques, then apply them while completing and presenting an independent research project. There are also weekly writing assignments and seminars....",https://summer.uchicago.edu/courses/research-in-the-biological-sciences/,College Transitions,https://www.collegetransitions.com/blog/research-opportunities-for-high-school-students/,2026-06-02T13:12:46+00:00
Rutgers Waksman Institute Summer Experience Program,Rutgers Waksman Institute Summer Experience Program,Research,United States,STEM,,High School,"Summer Lab Virtual Commuter Location: Piscataway, NJ Format: Summer Length: 2 weeks Cost: $2,200 (in-person); $600 (virtual) Eligibility: High school students who have completed a high school-level biology course Best for: Students who want a short, highly structured research experience & publishing opportunity in molecular biology/bioinformatics. What you do: Conduct molecular biology lab work and perform DNA sequence analysis while attending daily seminars conducted by Rutgers faculty. At the...",https://wssp.rutgers.edu/wise,College Transitions,https://www.collegetransitions.com/blog/research-opportunities-for-high-school-students/,2026-06-02T13:12:46+00:00
Smith College Summer Science and Engineering Program,Smith College Summer Science and Engineering Program,Research,United States,Engineering,,High School,"Summer Residential Location: Northampton, MA Format: Summer Length: 2-4 weeks Cost: $4,985 (2 weeks); $9,970 (4 weeks) Eligibility: Female high school students in grades 9-12; some programs have specific prerequisites Best for: Female high school students in grades 9-12 who want a hands-on, team-based introduction to STEM and research. What you do: Take an intensive course (or two) with lectures plus experiments and fieldwork. Each session offers multiple course options; students attend class &...",https://www.smith.edu/academics/programs-courses/precollege-programs/summer-science-engineering-program#novel-bacteriophage-discovery-4,College Transitions,https://www.collegetransitions.com/blog/research-opportunities-for-high-school-students/,2026-06-02T13:12:46+00:00
Intern Summer Justice Program – Law Office of the Public Defender,Intern Summer Justice Program – Law Office of the Public Defender,Internship,Florida,Law,,"Freshmen, Juniors, Seniors, Sophomores","The Intern Summer Justice Program at the Law Office of the Public Defender offers a unique two-week internship for high school students interested in the justice system. This program, designed specifically for students aged 15 to 18 with a GPA of 2.0 or higher, provides an immersive experience into the workings of the criminal justice courts, law enforcement, crime lab, and medical examiner’s office. Participants will shadow attorneys, observe court proceedings, engage with legal professionals,...",https://www.browarddefender.org/jobs-internships/intern-summer-justice-program/,Extracurriculars.org,https://extracurriculars.org/,2026-06-02T13:12:46+00:00
Congressional App Challenge,Congressional App Challenge,Competition,United States,Computer Science,,"Freshmen, Juniors, Seniors, Sophomores","The Congressional App Challenge is a prestigious competition that encourages high school students to develop their coding skills by creating their own apps. It aims to connect today's Congress with tomorrow's coders, significantly increasing Congress' mentions of computer science and coding by 2,000%. The challenge is open to students from participating districts, offering them a platform to showcase their apps and potentially win awards. This initiative not only promotes STEM education but...",https://www.congressionalappchallenge.us/,Extracurriculars.org,https://extracurriculars.org/,2026-06-02T13:12:46+00:00
DECA Inc. - Collegiate Program,DECA Inc. - Collegiate Program,Competition,United States,Business,,"Freshmen, Juniors, Seniors, Sophomores","DECA Inc. offers a collegiate program aimed at developing leadership skills in marketing, finance, hospitality, and management for college students. The program includes competitive events, corporate challenges, and educational conferences to help students prepare for their careers. DECA's collegiate program seeks to prepare emerging leaders and entrepreneurs for success in their future professional endeavors. It provides a platform for students to demonstrate their career knowledge,...",https://www.deca.org/,Extracurriculars.org,https://extracurriculars.org/,2026-06-02T13:12:46+00:00
The New York Times Student Contests,The New York Times Student Contests,Competition,United States,"English Literature Writing, Arts Performance",,"Freshmen, Juniors, Seniors, Sophomores","The New York Times offers a series of student contests as part of its Learning Network, providing a platform for students to engage creatively with current events and express themselves through various formats. These contests include challenges in writing, multimedia, and visual arts, catering to a wide range of interests. Open to students worldwide, these contests aim to foster creativity, critical thinking, and a deeper understanding of the world. Participants have the opportunity to have...",https://www.nytimes.com/2023/07/13/learning/our-2023-24-student-contest-calendar.html,Extracurriculars.org,https://extracurriculars.org/,2026-06-02T13:12:46+00:00
National Youth Orchestra of the United States of America (NYO-USA),National Youth Orchestra of the United States of America (NYO-USA),Summer Program,United States,Arts Performance,,"Juniors, Seniors","The National Youth Orchestra of the United States of America (NYO-USA), organized by Carnegie Hall’s Weill Music Institute, is a prestigious summer program that gathers the brightest young musicians from across the country. This free program, following a comprehensive audition process, offers a multi-week training residency with leading professional orchestra musicians. Participants, aged 16–19, embark on a tour to some of the great music capitals of the world, serving as dynamic music...",https://www.carnegiehall.org/Education/Programs/National-Youth-Ensembles/NYO-USA,Extracurriculars.org,https://extracurriculars.org/,2026-06-02T13:12:46+00:00
FIRST Robotics Competition,FIRST Robotics Competition,Competition,United States,"Mathematics, Physics, Engineering",,"Freshmen, Juniors, Seniors, Sophomores","The FIRST Robotics Competition is a unique event that combines the excitement of sport with the rigors of science and technology. High school students, under strict rules and with limited resources, are challenged to build industrial-size robots to play a difficult field game in alliance with other teams. This competition not only involves the technical aspects of robot construction but also includes fundraising, team branding, and promoting STEM within the community. Participants have the...",https://www.firstinspires.org/robotics/frc,Extracurriculars.org,https://extracurriculars.org/,2026-06-02T13:12:46+00:00
Stanford Institutes of Medicine Summer Research Program (SIMR),Stanford Institutes of Medicine Summer Research Program (SIMR),Research,United States,"Medical, Biology, Chemistry",,"Juniors, Seniors","The Stanford Institutes of Medicine Summer Research Program (SIMR) is an eight-week summer program designed for high school juniors and seniors interested in exploring the field of biomedical research. Participants engage in hands-on research projects under the guidance of Stanford faculty, postdoctoral fellows, and researchers. The program aims to increase students' interest in biological sciences and medicine, and to provide an understanding of how scientific research is conducted. The...",https://simr.stanford.edu/,Extracurriculars.org,https://extracurriculars.org/,2026-06-02T13:12:46+00:00
PROMYS - Program in Mathematics for Young Scientists,PROMYS - Program in Mathematics for Young Scientists,Summer Program,United States,Mathematics,,"Freshmen, Juniors, Seniors, Sophomores","PROMYS (Program in Mathematics for Young Scientists) is a 6-week summer program hosted at Boston University, designed for highly motivated high school students from the U.S. and around the world who have a strong interest in mathematics. The program focuses on deep exploratory mathematical learning, encouraging participants to tackle fundamental mathematical problems requiring creativity and perseverance. PROMYS offers a unique environment where learners are treated as mathematicians, fostering...",https://promys.org/,Extracurriculars.org,https://extracurriculars.org/,2026-06-02T13:12:46+00:00
The Anson L. Clark Scholars Program,The Anson L. Clark Scholars Program,Research,United States,General,,"Juniors, Seniors","The Anson L. Clark Scholars Program at Texas Tech University is a seven-week summer research program for highly qualified high school juniors and seniors. The program provides a hands-on practical research experience across various disciplines. There are no program fees, and it covers on-campus meals, room and board, and weekend activities. Scholars receive a $750 stipend upon successful completion of their research project. Eligibility requires applicants to be at least 17 years old by the...",https://www.depts.ttu.edu/honors/academicsandenrichment/affiliatedandhighschool/clarks/,Extracurriculars.org,https://extracurriculars.org/,2026-06-02T13:12:46+00:00
FTE Economics for Leaders Advanced,FTE Economics for Leaders Advanced,Summer Program,United States,Economics,,"Juniors, Seniors","FTE Economics for Leaders Advanced builds upon the foundational Economics for Leaders program, offering high-achieving students a more rigorous and in-depth exploration of economic theory, policy analysis, and leadership. Participants engage in complex simulations, advanced problem-solving exercises, and leadership case studies to refine their analytical and decision-making skills. This program is ideal for students seeking to challenge themselves academically while preparing for top-tier...",https://www.fte.org/programs/economics-for-leaders/,Extracurriculars.org,https://extracurriculars.org/,2026-06-02T13:12:46+00:00
FTE Economics for Leaders,FTE Economics for Leaders,Summer Program,United States,Economics,,"Sophomores, Juniors, Seniors","FTE Economics for Leaders is an immersive program designed for high school students to explore the principles of economics and leadership. Participants gain a deeper understanding of market forces, decision-making, and the impact of economic policy while developing essential leadership and critical thinking skills. The program encourages students to analyze real-world economic challenges and learn from experienced instructors and peers in a collaborative environment, preparing them for future...",https://www.fte.org/programs/economics-for-leaders/,Extracurriculars.org,https://extracurriculars.org/,2026-06-02T13:12:46+00:00
Stanford Math Tournament (SMT),Stanford Math Tournament (SMT),Competition,United States,Mathematics,,"Freshmen, Juniors, Seniors, Sophomores","The Stanford Math Tournament (SMT) is a prestigious high school math competition organized by students at Stanford University. SMT offers a challenging and high-quality event for students passionate about mathematics. The tournament, supported by the Stanford Undergraduate Mathematics Organization and the Stanford Department of Mathematics, attracts over 1700 participants globally. In addition to the on-campus event, SMT also hosts an online tournament open to middle and high school students...",https://www.stanfordmathtournament.com/,Extracurriculars.org,https://extracurriculars.org/,2026-06-02T13:12:46+00:00
Regeneron Science Talent Search,Regeneron Science Talent Search,Competition,United States,"Mathematics, Data Science, Environmental Science",,Seniors,"The Regeneron Science Talent Search, organized by the Society for Science, is the nation's oldest and most prestigious science and mathematics competition for high school seniors. It recognizes and rewards the United States' most promising young scientists who are developing innovative solutions to society's most urgent challenges. Participants submit original research in important scientific fields of study. The competition offers significant financial awards, with a top prize of $250,000. The...",https://www.societyforscience.org/regeneron-sts/,Extracurriculars.org,https://extracurriculars.org/,2026-06-02T13:12:46+00:00
Management & Technology Summer Institute (M&TSI),Management & Technology Summer Institute (M&TSI),Summer Program,United States,"Business, Engineering, Computer Science",,"Juniors, Seniors","The Management & Technology Summer Institute (M&TSI) is a for-credit summer program for rising high school seniors and a select number of rising juniors interested in the intersection of technology and management. Hosted by the Jerome Fisher Program in Management & Technology, in partnership with Penn Engineering and the Wharton School, M&TSI offers courses taught by leading faculty, an intensive team prototyping project, and various activities aimed at technological innovation. The program...",https://fisher.wharton.upenn.edu/management-technology-summer-institute/,Extracurriculars.org,https://extracurriculars.org/,2026-06-02T13:12:46+00:00
Stanford Young Investigators,Stanford Young Investigators,Internship,California,"Environmental Science, Physics, Engineering",,"Freshmen, Juniors, Seniors, Sophomores","The Stanford Young Investigators program at the Stanford Doerr School of Sustainability offers high school students the opportunity to engage in research within the fields of Earth and environmental sciences, Earth and planetary sciences, energy, and social sciences. This summer internship allows students to work directly with graduate scholars, postdocs, and lab managers, providing a hands-on experience in scientific research. The program includes weekly talks, lab tours, and field trips,...",https://sustainability.stanford.edu/admissions-education/k-12-outreach/young-investigators,Extracurriculars.org,https://extracurriculars.org/,2026-06-02T13:12:46+00:00
BlueStamp Engineering Summer Program,BlueStamp Engineering Summer Program,Summer Program,United States,"Engineering, Computer Science",,"Freshmen, Juniors, Seniors, Sophomores","BlueStamp Engineering offers a hands-on summer program for high school students interested in technology and engineering. Students select and build a technology project they are passionate about, learning engineering fundamentals in the process. The program is available both remotely and in-person in Silicon Valley, catering to students of all experience levels with a 4:1 student-to-staff ratio. Participants create an online engineering portfolio to document their journey, which serves as a...",https://bluestampengineering.com/,Extracurriculars.org,https://extracurriculars.org/,2026-06-02T13:12:46+00:00
International Photography Awards (IPA),International Photography Awards (IPA),Competition,United States,Arts Performance,,"Freshmen, Juniors, Seniors, Sophomores","The International Photography Awards (IPA) is an annual global competition that celebrates the achievements of photographers across various categories, including professional, non-professional, and student photographers. Participants have the opportunity to compete for several prestigious awards, such as the International Photographer of the Year, with a grand prize of $10,000, and other category-specific awards. Winners are invited to the Lucie Awards gala, where the grand winners are...",https://photoawards.com/en/Pages/About/About.php,Extracurriculars.org,https://extracurriculars.org/,2026-06-02T13:12:46+00:00
Bank of America Student Leaders Program,Bank of America Student Leaders Program,Internship,United States,"Business, Public Administration, Political Science",,"Juniors, Seniors","The Bank of America Student Leaders Program is designed to provide high school juniors and seniors with leadership training and work experience, focusing on community service and economic mobility. Participants engage in paid internships with local nonprofits and attend a national leadership summit in Washington, D.C. The program aims to prepare a diverse pipeline of community-minded young students for success in the workforce. It is part of Bank of America's commitment to youth employment and...",https://about.bankofamerica.com/en/making-an-impact/student-leaders#fbid=bLy4gDbXA7s,Extracurriculars.org,https://extracurriculars.org/,2026-06-02T13:12:46+00:00
Scholastic Art and Writing Awards,Scholastic Art and Writing Awards,Competition,United States,"English Literature Writing, Arts Performance",,"Freshmen, Juniors, Seniors, Sophomores","The Scholastic Art and Writing Awards, organized by the Alliance for Young Artists & Writers, has been supporting the future of creativity since 1923. This program offers students the opportunity to gain recognition, scholarships, and more through their creative works in art and writing. It includes exhibitions, workshops for teens, and professional development for educators, aiming to empower creative teens and elevate youth voices. The program is open to students of all grade levels and...",https://www.artandwriting.org/,Extracurriculars.org,https://extracurriculars.org/,2026-06-02T13:12:46+00:00
Eugene and Ruth Roberts Summer Student Academy,Eugene and Ruth Roberts Summer Student Academy,Research,United States,"Medical, Biology, Chemistry",,"Freshmen, Juniors, Seniors, Sophomores","The Eugene and Ruth Roberts Summer Student Academy at City of Hope offers undergraduate and advanced high school students a unique opportunity to engage in inquiry-based biomedical research. Participants select their own research project and work full-time for 10 weeks as part of a biomedical research team, mentored by world-renowned physicians and scientists. The program includes weekly seminars, workshops on various topics including biomedical ethics, and the chance to develop critical...",https://www.cityofhope.org/academics/irell-and-manella-graduate-school-of-biological-sciences/summer-student-academy,Extracurriculars.org,https://extracurriculars.org/,2026-06-02T13:12:46+00:00
High School Internship Program at LANL,High School Internship Program at LANL,Internship,United States,"Mathematics, Data Science, Environmental Science",,Seniors,"The High School Internship Program at Los Alamos National Laboratory (LANL) offers northern New Mexico high school seniors the chance to gain work experience and exposure to various career fields. The program includes internships in both STEM and other career fields such as administrative, business, and operations support. Eligible students must have senior status, be at least 16 years old, have a minimum GPA of 3.0, and attend a high school in northern New Mexico. The program provides a unique...",https://www.lanl.gov/careers/career-options/student-internships/high-school/,Extracurriculars.org,https://extracurriculars.org/,2026-06-02T13:12:46+00:00
SUNY Oneonta Biological Field Station Internships,SUNY Oneonta Biological Field Station Internships,Internship,New York,"Environmental Science, Biology, Chemistry",,"Juniors, Seniors, Sophomores","The SUNY Oneonta Biological Field Station offers summer research internships for both college and high school students interested in environmental or natural sciences. The program runs from late May through August, with high school internships lasting 9 weeks and undergraduate internships lasting 10 weeks. Interns engage in a variety of research projects, including field work, laboratory analyses, data analysis, and writing. They are expected to present their research in seminars and produce a...",https://suny.oneonta.edu/biological-field-station/internships,Extracurriculars.org,https://extracurriculars.org/,2026-06-02T13:12:46+00:00
picoCTF Competition,picoCTF Competition,Competition,United States,Computer Science,,"Freshmen, Juniors, Seniors, Sophomores","picoCTF 2024 is the largest cybersecurity hacking competition for middle, high school, and college students globally. This competition encourages participants of all skill levels, aged 13 and older, to engage in reverse-engineering, hacking, decryption, and critical thinking to solve challenges and capture digital flags. Prizes include cash awards and opportunities for further training. This event is an excellent opportunity for students interested in computer science and cybersecurity to...",https://picoctf.com/competitions/2024-spring.html,Extracurriculars.org,https://extracurriculars.org/,2026-06-02T13:12:46+00:00
American Mathematics Competitions (AMC),American Mathematics Competitions (AMC),Competition,United States,Mathematics,,"Freshmen, Juniors, Seniors, Sophomores","The American Mathematics Competitions (AMC), organized by the Mathematical Association of America, is a series of math competitions designed to foster problem-solving skills and mathematical knowledge among middle and high school students. The AMC program includes a variety of competitions such as the AMC 8, AMC 10/12, American Invitational Mathematics Examination (AIME), and the United States Mathematical Olympiad and Junior Mathematical Olympiad (USA(J)MO). Participating in the AMC...",https://maa.org/math-competitions,Extracurriculars.org,https://extracurriculars.org/,2026-06-02T13:12:46+00:00
Conrad Challenge,Conrad Challenge,Competition,United States,"Business, Engineering, Computer Science",,"Freshmen, Juniors, Seniors, Sophomores","The Conrad Challenge is a year-long competition that encourages students aged 13 to 18 to design innovations that solve important problems, fostering entrepreneurship. Participants go through stages including Activation, Lean Canvas, Innovation, and Power Pitch, culminating in the Conrad Challenge Innovation Summit. Teams of 2-5 students, guided by a coach, compete in various categories to earn scholarships, entrepreneurial support, and the title of Pete Conrad Scholar. The competition...",https://www.conradchallenge.org/conrad-challenge,Extracurriculars.org,https://extracurriculars.org/,2026-06-02T13:12:46+00:00
Berkeley Business Academy for Youth - High School Entrepreneurship,Berkeley Business Academy for Youth - High School Entrepreneurship,Competition,United States,Business,,"Freshmen, Juniors, Seniors, Sophomores","The Berkeley Business Academy for Youth (B-BAY) offers a High School Entrepreneurship program where students have the opportunity to develop a business idea and create a business plan over two weeks. The program features lectures from Berkeley Haas professors and corporate guest speakers, independent research, computer lab assignments, and team projects. Participants will learn about various business subjects, enhance their communication and presentation skills, and receive a UC Berkeley...",https://haas.berkeley.edu/business-academy/high-school-entrepreneurship/,Extracurriculars.org,https://extracurriculars.org/,2026-06-02T13:12:46+00:00
Congressional Essay Contest,Congressional Essay Contest,Competition,United States,"English Literature Writing, Political Science, Law",,"Freshmen, Juniors, Seniors, Sophomores","The Congressional Essay Contest, organized by The National Society of The Colonial Dames of America, invites high school students to participate in a writing competition. The contest requires students to submit essays on annually changing topics related to government and politics. Winners receive a scholarship to attend the Congressional Seminar in Washington, D.C., which includes a Mock Congress, university campus housing, meals, and tours of government offices and museums. The contest is open...",https://nscda.org/student-resources/congressional-essay-contest/,Extracurriculars.org,https://extracurriculars.org/,2026-06-02T13:12:46+00:00
Pasquines Volunteer and Internship Program,Pasquines Volunteer and Internship Program,Internship,United States,"English Literature Writing, Public Administration, Political Science",,"Freshmen, Juniors, Seniors, Sophomores","Pasquines offers volunteer and internship opportunities for individuals interested in contributing to a nonprofit news organization covering the news of U.S. territories. The work is conducted online, with assignments submitted through Trello and team communication via Slack. The program is designed to be flexible, requiring as little as 2 hours of weekly work, and focuses on honing skills in an innovative and technology-focused environment. Pasquines is committed to inclusivity and encourages...",https://pasquines.us/join-us/,Extracurriculars.org,https://extracurriculars.org/,2026-06-02T13:12:46+00:00
Summer Science Academy - Emory School of Medicine,Summer Science Academy - Emory School of Medicine,Research,United States,"Mathematics, Engineering, Medical",,"Freshmen, Sophomores","The Summer Science Academy at Emory School of Medicine is a day program designed for incoming 9th and 10th grade students with a passion for sciences, including biology, healthcare, medicine, or related STEM fields. The program offers hands-on learning in natural science, biotechnology, engineering and math, medical and science research, and health and science careers exploration. It will be held in-person on the Emory University main campus with three session options. The program aims to...",https://med.emory.edu/education/multicultural-med-student-affairs/summer-camps/index.html,Extracurriculars.org,https://extracurriculars.org/,2026-06-02T13:12:46+00:00
CYCE High School Summer Internship Programs at Cleveland Clinic,CYCE High School Summer Internship Programs at Cleveland Clinic,Internship,Ohio,"Data Science, Engineering, Computer Science",,"Freshmen, Juniors, Seniors, Sophomores","The Center for Youth and College Education (CYCE) at Cleveland Clinic offers paid summer internship programs for high school students interested in healthcare careers. These internships are available in clinical, nonclinical, and advanced technology tracks, including areas like artificial intelligence, biomedical engineering, robotics, computing sciences, and cybersecurity. The program is designed to provide workforce readiness, career preparedness, and opportunities to work alongside...",https://my.clevelandclinic.org/departments/education/center-for-youth-and-college-education/internships,Extracurriculars.org,https://extracurriculars.org/,2026-06-02T13:12:46+00:00
United States Physics Olympiad (USAPhO),United States Physics Olympiad (USAPhO),Competition,United States,"Mathematics, Physics",,"Freshmen, Juniors, Seniors, Sophomores","The U.S. Physics Team program, organized by the American Association of Physics Teachers (AAPT), invites high school students to participate in the F=ma exam, a qualifying test for the U.S. Physics Team. The exam is open to U.S. citizens, legal permanent residents, or students attending a U.S. school. Registration requires a school registration fee and a per-student fee. The program emphasizes the development of physics knowledge and problem-solving skills, offering students a chance to compete...",https://en.wikipedia.org/wiki/United_States_Physics_Olympiad,Extracurriculars.org,https://extracurriculars.org/,2026-06-02T13:12:46+00:00
